"","gwid","statename","from","to","group","groupid","gwgroupid","umbrella","size","status","reg_aut"
"1",90,"Guatemala",1946,1954,"Maya",2000,9002000,NA,0.515,"POWERLESS","false"
"2",90,"Guatemala",1946,1954,"Ladinos",1000,9001000,NA,0.48,"MONOPOLY",""
"3",90,"Guatemala",1955,1995,"Maya",2000,9002000,NA,0.515,"DISCRIMINATED","false"
"4",90,"Guatemala",1955,1995,"Ladinos",1000,9001000,NA,0.48,"MONOPOLY",""
"5",90,"Guatemala",1996,2021,"Maya",2000,9002000,NA,0.515,"POWERLESS","false"
"6",90,"Guatemala",1996,2021,"Ladinos",1000,9001000,NA,0.48,"DOMINANT",""
"7",90,"Guatemala",1996,2021,"Xinca",4000,9004000,NA,0.003,"POWERLESS","false"
"8",90,"Guatemala",1996,2021,"Garífuna",3000,9003000,NA,0.002,"POWERLESS","false"
