"","numcode","VMAR_Group","ccode","country","VMAR_Region","year","GPOP","CPOP","GPRO","LANG","CUSTOM","BELIEF","RELIGS1","RACE","GROUPCON","GC119","GC2","GC6B","GC7","GC10","GC11","AUTLOST","YEARWT","MAGN","PRSTAT","AUTONEND","TRANSYR","SEPX","SEPKIN","EMIG","DISPLACE","POLDIS","ECDIS","CULPO1","CULPO2","GOJPA","AUTON2","AUTGAIN","AUTPRO","LEGISREP","EXECREP","GUARREP","POLGR","ECGR","CULGR","KINSUP","KINMATSUP","KINPOLSUP","KINMILSUP","STASUP","STAMATSUP","STAPOLSUP","STAMILSUP","NSASUP","NSAMATSUP","NSAPOLSUP","NSAMILSUP","INTRACON","FACTCC1","FACTSEV1","FACTCC2","FACTSEV2","FACTCC3","FACTSEV3","INTERCON","CCGROUP1","CCGROUPSEV1","CCGROUP2","CCGROUPSEV2","CCGROUP3","CCGROUPSEV3","PROT","REB","REPGENCIV","REPNVIOL","REPVIOL"
"1",9002,"Indigenous Peoples",90,"Guatemala","Latin America and the Caribbean",2004,5134194,11939986,0.43,1,1,0,1,2,2,2,1,2,2,2,1,1,5,3,3,"1524","1821",3,1,0,1,3,3,0,1,3,0,-99,-99,1,1,0,2,2,2,0,0,0,0,1,1,1,0,1,1,0,0,0,"",0,"",0,"",0,0,"",0,"",0,"",0,3,0,0,4,5
"2",9002,"Indigenous Peoples",90,"Guatemala","Latin America and the Caribbean",2005,5238496,12182548,0.43,1,1,0,1,2,2,2,1,2,2,2,1,1,5,3,3,"1524","1821",3,1,0,1,3,3,0,1,2,0,-99,-99,1,1,0,2,2,2,0,0,0,0,1,1,0,0,1,1,1,0,0,"",0,"",0,"",0,0,"",0,"",0,"",0,3,0,0,5,0
"3",9002,"Indigenous Peoples",90,"Guatemala","Latin America and the Caribbean",2006,5355541,12454747,0.43,1,1,0,1,2,2,2,1,2,2,2,1,1,5,3,3,"1524","1821",3,1,0,1,3,3,0,1,2,0,-99,-99,1,1,0,2,2,2,0,0,0,0,1,1,0,0,1,1,1,0,0,"",0,"",0,"",0,0,"",0,"",0,"",0,4,0,0,4,0
